TrueSkill One-On-One rating:
RDE - Mean(mu)=-10,983.09, Std-Dev(sigma)=0.78 RI=[-10984.66, -10981.53]
LSHADE* - Mean(mu)=-10,984.65, Std-Dev(sigma)=0.78 RI=[-10986.21, -10983.08]
iEACOP - Mean(mu)=-10,984.7, Std-Dev(sigma)=0.8 RI=[-10986.29, -10983.11]
L-SRTDE - Mean(mu)=-10,984.97, Std-Dev(sigma)=0.78 RI=[-10986.54, -10983.4]
jSOa - Mean(mu)=-10,985.23, Std-Dev(sigma)=0.78 RI=[-10986.8, -10983.66]
APO* - Mean(mu)=-10,986.26, Std-Dev(sigma)=0.8 RI=[-10987.86, -10984.67]
SFOA* - Mean(mu)=-10,986.93, Std-Dev(sigma)=0.79 RI=[-10988.51, -10985.35]
mLSHADE-RL - Mean(mu)=-10,987.66, Std-Dev(sigma)=0.8 RI=[-10989.27, -10986.06]
PO* - Mean(mu)=-10,989.19, Std-Dev(sigma)=0.82 RI=[-10990.84, -10987.55]
BlockEA - Mean(mu)=-10,989.58, Std-Dev(sigma)=0.81 RI=[-10991.21, -10987.96]
GWO* - Mean(mu)=-10,992.07, Std-Dev(sigma)=0.87 RI=[-10993.8, -10990.34]
HOA* - Mean(mu)=-10,994.4, Std-Dev(sigma)=0.91 RI=[-10996.22, -10992.58]
RS* - Mean(mu)=-10,994.91, Std-Dev(sigma)=0.91 RI=[-10996.73, -10993.09]

TrueSkill Free-For-All rating:
L-SRTDE - Mean(mu)=31.04, Std-Dev(sigma)=0.62 RI=[29.8, 32.29]
RDE - Mean(mu)=30.64, Std-Dev(sigma)=0.61 RI=[29.41, 31.86]
iEACOP - Mean(mu)=29.78, Std-Dev(sigma)=0.61 RI=[28.55, 31]
APO* - Mean(mu)=29.11, Std-Dev(sigma)=0.61 RI=[27.89, 30.34]
LSHADE* - Mean(mu)=28.49, Std-Dev(sigma)=0.61 RI=[27.27, 29.71]
jSOa - Mean(mu)=28.4, Std-Dev(sigma)=0.61 RI=[27.18, 29.62]
mLSHADE-RL - Mean(mu)=27.53, Std-Dev(sigma)=0.62 RI=[26.3, 28.76]
SFOA* - Mean(mu)=27.25, Std-Dev(sigma)=0.61 RI=[26.03, 28.48]
BlockEA - Mean(mu)=27.01, Std-Dev(sigma)=0.62 RI=[25.78, 28.24]
PO* - Mean(mu)=25.15, Std-Dev(sigma)=0.61 RI=[23.92, 26.37]
GWO* - Mean(mu)=18.84, Std-Dev(sigma)=0.63 RI=[17.57, 20.11]
HOA* - Mean(mu)=12.27, Std-Dev(sigma)=0.67 RI=[10.92, 13.62]
RS* - Mean(mu)=11.59, Std-Dev(sigma)=0.68 RI=[10.22, 12.96]

Glicko2 rating:
L-SRTDE - Rating=1,723.3 RD=30 ro=0.06 RI=[1663.28, 1783.28]
RDE - Rating=1,717.8 RD=30 ro=0.06 RI=[1657.78, 1777.78]
iEACOP - Rating=1,685.7 RD=30 ro=0.06 RI=[1625.67, 1745.67]
APO* - Rating=1,632.3 RD=30 ro=0.06 RI=[1572.25, 1692.25]
SFOA* - Rating=1,597.8 RD=30 ro=0.06 RI=[1537.82, 1657.82]
LSHADE* - Rating=1,596.6 RD=30 ro=0.06 RI=[1536.64, 1656.64]
mLSHADE-RL - Rating=1,592.1 RD=30 ro=0.06 RI=[1532.08, 1652.08]
jSOa - Rating=1,584.5 RD=30 ro=0.06 RI=[1524.51, 1644.51]
BlockEA - Rating=1,568.8 RD=30 ro=0.06 RI=[1508.77, 1628.77]
PO* - Rating=1,476.6 RD=30 ro=0.06 RI=[1416.62, 1536.62]
GWO* - Rating=1,216.2 RD=30 ro=0.06 RI=[1156.24, 1276.24]
HOA* - Rating=1,059.8 RD=30 ro=0.06 RI=[999.75, 1119.75]
RS* - Rating=1,048.6 RD=30 ro=0.06 RI=[988.59, 1108.59]

Game results:
L-SRTDE [win=242641, lose=93007, draw=12352]
